,trackName,artistName,numPlays,URI,valence,tempo,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness
75,Put Your Records On,Corinne Bailey Rae,13,spotify:track:5fjaQbUdvzhi4RzDsOM3fX,0.554,96.063,0.148,0.737,215027,0.472,1.21E-06,9,0.137,-9.019,0.0371
76,How About You? - Remastered 1998,Frank Sinatra,13,spotify:track:2Vl1F24TYLfRNMauUuUCPP,0.338,119.101,0.644,0.58,166667,0.213,0,4,0.101,-12.953,0.0385
77,1985,Bowling For Soup,13,spotify:track:5oQcOu1omDykbIPSdSQQNJ,0.903,119.974,0.000242,0.606,193000,0.887,0,4,0.337,-4.404,0.0598
78,Roll Over,Cory Wong,13,spotify:track:0KcUwJZqf2IlVOa7TDVKrG,0.579,96.012,0.164,0.815,246757,0.482,0.464,1,0.113,-7.892,0.0314
79,Cold Cold Man,Saint Motel,13,spotify:track:6RKGBcDtgzXx21zUjpeu6F,0.509,110.978,0.00652,0.613,230773,0.661,0,9,0.0976,-4.984,0.0263
80,Way It Goes,Hippo Campus,13,spotify:track:4UMyBsHLnDvtXygxDAKbpj,0.515,120.014,0.021,0.542,245456,0.906,0.00043,9,0.377,-4.213,0.0491
81,Show&tell,Artemis,13,spotify:track:7fHWMx7HzX2sbi5B7wHySm,0.293,81.945,0.696,0.688,188703,0.385,0.00987,2,0.087,-10.178,0.0819
82,Shred Cruz,Mom Jeans.,13,spotify:track:2PfhxN59IQspC3t8OLsZLV,0.593,173.96,0.00152,0.429,128089,0.866,1.61E-06,1,0.213,-6.878,0.131
83,Living Single,Big Sean,13,spotify:track:36xxq7VDZZsGwARsn6Clo7,0.73,80.109,0.223,0.714,276347,0.62,0,11,0.109,-5.045,0.296
84,Impostor Syndrome,Sidney Gish,13,spotify:track:3bpGAsjsCIMTz98E7injb2,0.728,114.976,0.6,0.717,294261,0.567,4.85E-06,7,0.205,-9.166,0.0329
85,Size of the Moon,Pinegrove,13,spotify:track:6U66c9UHBSeEpYprkigXtv,0.197,136.381,0.216,0.333,287480,0.664,0.000421,9,0.113,-9.785,0.0566
86,Next to You,Macseal,13,spotify:track:0YnnewoxWSDeDF4RZJBTNA,0.491,92.514,0.000496,0.484,208384,0.877,1.95E-05,1,0.0704,-4.594,0.0409
87,Brown Noise - 90 Minutes,Sound Dreamer,13,spotify:track:7foc25ig7dibxvULPU2kBG,0,0,0.111,0,5403500,9.90E-05,0.392,2,0.137,-21.669,0
88,Mystery of Love (From the Original Motion Picture “Call Me by Your Name”),Sufjan Stevens,12,spotify:track:0oTtnnedK0C4unALxVTPhz,0.238,132.285,0.94,0.365,248965,0.273,0.431,4,0.109,-16.526,0.038
89,Uno,Rex Orange County,12,spotify:track:5WvDO1ZKap15ehQeNRHJ9H,0.463,163.899,0.78,0.781,171789,0.452,3.00E-06,5,0.0902,-9.798,0.26
90,The Cave,Mumford & Sons,12,spotify:track:7IxVWmdabNVhfLBV3JD0nJ,0.346,141.981,0.0464,0.595,217987,0.506,0.000138,4,0.107,-9.682,0.0388
91,Do Friends Fall in Love?,Rachael & Vilray,12,spotify:track:52Bvu2IqOZuq77KRkDcLzS,0.263,107.781,0.957,0.748,175071,0.169,2.05E-06,7,0.113,-10.052,0.0483
92,Inside Out,Spoon,12,spotify:track:7qCZgvV98j6RjUULW1s1it,0.515,176.016,0.459,0.621,301960,0.62,0.162,0,0.0771,-4.721,0.0293
93,Hot Sand,Artemis,12,spotify:track:6spJKtmkqAJtJaInZd5NiY,0.236,156.905,0.0669,0.611,185012,0.566,0,6,0.121,-7.639,0.142
94,Freckles,Lawrence,12,spotify:track:6zIGr19hOaHhruwq9hdbIE,0.671,142.051,0.231,0.685,189413,0.514,0,2,0.22,-4.749,0.247
95,Favorite Song,Chance the Rapper,12,spotify:track:1sFstGV1Z3Aw5TDFCiT7vK,0.811,155.918,0.0321,0.725,185062,0.601,0,1,0.0504,-9.03,0.377
96,death bed (coffee for your head),Powfu,12,spotify:track:5TEH4r5OBFcKZJBjF4qOxL,0.348,144.004,0.731,0.725,173333,0.431,0,3,0.696,-8.765,0.135
97,My Outside,Alice Phoebe Lou,12,spotify:track:5bQqZrl4v9L5ufQwmWDKbD,0.614,140.063,0.337,0.664,189439,0.778,0,8,0.141,-5.476,0.0924
98,What's Up?,Mom Jeans.,12,spotify:track:1KRvgJXeLXb9C02qdgNR8i,0.844,84.469,0.000115,0.515,141909,0.934,0.000176,9,0.269,-5.6,0.041
99,Limited World,Cory Wong,12,spotify:track:4ZReuzjoiFMVWwly2NccJh,0.94,124.022,0.225,0.753,265347,0.867,0.0101,10,0.106,-5.849,0.0724
100,Up All Night,Mac Miller,12,spotify:track:0BJU3HPSwhJEg6xvXOgCBr,0.617,170.177,0.391,0.537,271283,0.737,0.000333,5,0.115,-5.858,0.319
101,Freakin' Out On the Interstate,Briston Maroney,12,spotify:track:26UGYdW4gLizL2HepHuBXE,0.362,143.861,0.388,0.45,251906,0.794,0,4,0.303,-5.015,0.0538
102,Your Soul,Forrest.,12,spotify:track:6M5PfSLBympuj6Slof3APb,0.822,139.966,0.0244,0.846,178286,0.851,0,9,0.153,-3.821,0.372
103,Basket Case,Green Day,12,spotify:track:6L89mwZXSOwYl76YXfX13s,0.781,85.064,0.00293,0.442,181533,0.943,8.71E-06,3,0.091,-3.205,0.0602
104,Witches,Alice Phoebe Lou,12,spotify:track:4CZgaNdobtnTfBevPBje0c,0.729,73.122,0.0301,0.576,195079,0.719,4.78E-06,8,0.116,-5.749,0.0583
105,You Go Down Smooth,Lake Street Dive,12,spotify:track:65EVlEBJkMJCskhQwUUGew,0.294,189.901,0.0712,0.314,209400,0.787,2.25E-05,4,0.16,-4.838,0.0771
106,Short Skirt / Long Jacket,CAKE,11,spotify:track:3OOFEF20WqtsUPcRbPY3L7,0.881,119.995,0.0028,0.778,204133,0.899,0.0345,2,0.0263,-6.552,0.0451
107,Wes Anderson,Alex Lahey,11,spotify:track:1Nlk3KvJVeqakRGI0pdbXS,0.293,153.931,0.298,0.471,250357,0.884,0.000112,4,0.217,-2.695,0.0289
108,Graceland Too,Phoebe Bridgers,11,spotify:track:1WCjhRs2WBgyeGaybCX2Po,0.351,149.552,0.871,0.448,236350,0.338,0,10,0.117,-10.373,0.0296
109,Cadmium,Pinegrove,11,spotify:track:6xhnqknM8wfiIKj7w2TgQH,0.33,131.214,0.484,0.456,252213,0.32,0,4,0.158,-9.883,0.0477
110,Chicken Tenders,Dominic Fike,11,spotify:track:26EjNKyoK9KCoUx1HUpT16,0.72,119.983,0.268,0.746,170405,0.741,0,11,0.644,-5.459,0.0567
111,Caitlyn,Jank,11,spotify:track:6BzSWeDsh6egbOs57UfrXY,0.321,82.794,0.0129,0.334,280613,0.755,0.0625,8,0.0368,-6.375,0.0476
112,Rock Bottom,Modern Baseball,11,spotify:track:7dBt70xgF0BawJvmtgKn8f,0.619,149.961,0.00515,0.386,132811,0.917,0,1,0.0334,-4.788,0.115
113,Freaking Out the Neighborhood,Mac DeMarco,11,spotify:track:3HlK8txWAdtKMrbsqX40pl,0.847,143.303,0.0638,0.565,173889,0.832,0.0288,8,0.386,-5.751,0.108
114,Cosmic Sans,Cory Wong,11,spotify:track:594a2gJwaid7KGIn9QhYJL,0.856,114.033,0.361,0.753,217147,0.854,0.8,4,0.111,-8.338,0.0472
115,Wednesday,Good Morning,11,spotify:track:6j9TclzIdlBwgFbOhbbQ0T,0.755,76.121,0.452,0.594,143684,0.443,0.0466,6,0.108,-13.534,0.0242
116,Sigh No More,Mumford & Sons,11,spotify:track:2QAiyYiogIG5kkw4s4iePg,0.214,147.769,0.0251,0.485,207987,0.333,0.000252,0,0.306,-10.311,0.0299
117,Sakura III,Elijah Nang,11,spotify:track:55cO39y3s1zQ8AEPd0nCIG,0.435,151.938,0.695,0.597,277895,0.23,0.314,3,0.104,-11.061,0.122
118,Sensitivity,Worn-Tin,11,spotify:track:1F9WFVKQ0PT4EiZNoZQu2d,0.931,110.207,0.0358,0.705,237742,0.529,0.00338,4,0.42,-6.585,0.029
119,Do You Go Up,Khai,11,spotify:track:0OTpz9cTT3BUCilO5XTs7c,0.228,96.645,0.938,0.505,193000,0.22,0.00351,1,0.103,-14.513,0.15
120,Skin Crawl,Alice Phoebe Lou,11,spotify:track:3uMgJ5cEdifcmDKqTh6TB5,0.426,180.108,0.228,0.302,138996,0.62,1.16E-05,2,0.215,-5.779,0.0331
121,She Don't Use Jelly,The Flaming Lips,11,spotify:track:1dJuteDIOkGfDSN7zPkzNv,0.506,173.828,0.207,0.33,222279,0.556,4.39E-05,7,0.315,-11.494,0.0796
122,Beach Baby,Bon Iver,11,spotify:track:2LXtyj95dK56ENS1QLt4IB,0.0922,114.355,0.983,0.669,160093,0.0809,0.41,0,0.114,-17.282,0.0365
123,"Come on, Brother",Lawrence,11,spotify:track:53Ovg1HwKuT3paJ2fZb7XL,0.186,151.86,0.212,0.282,248293,0.398,6.35E-06,2,0.0541,-7.372,0.0365
124,Then Again,Pinegrove,11,spotify:track:3WivWQJV7ZaZaSkOz7HHGy,0.504,165.235,0.00569,0.338,159173,0.944,7.81E-05,0,0.322,-6.141,0.129
125,"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,11,spotify:track:3FNy4yzOhHhFBeA5p4ofoq,0.551,94.505,0.0897,0.553,207347,0.652,0,0,0.111,-6.685,0.206
126,Love in the Time of Socialism,Yellow House,11,spotify:track:0JuJ0M9ZaKDwXms3rUh1Hk,0.19,76.973,0.915,0.244,251185,0.259,0,10,0.158,-9.591,0.035
127,Hypotheticals,Lake Street Dive,11,spotify:track:5lE2EFXt4muvLFMGQg4hZN,0.383,164.145,0.00753,0.69,230178,0.664,0.00762,1,0.0496,-6.488,0.0562
128,Probably Up,Lawrence,11,spotify:track:13HalBseZHAT19C6jWs1Ma,0.704,95.489,0.338,0.735,254653,0.609,3.11E-05,10,0.381,-5.574,0.0557
129,Where'd All the Time Go?,Dr. Dog,11,spotify:track:0UV5zxRMz6AO4ZwUOZNIKI,0.575,166.303,0.132,0.454,234800,0.82,0.000969,2,0.115,-4.193,0.0567
130,I'm In The Mood For Love,Julie London,11,spotify:track:6crfO56bDm0RjpctUuGs5X,0.177,123.341,0.963,0.58,149827,0.0545,0.000265,9,0.0967,-14.594,0.0473
131,Butch,Saint Motel,11,spotify:track:5ZQWNRoJsfkByZFHqCB92J,0.296,96.997,0.147,0.496,198680,0.731,1.29E-06,2,0.207,-5.283,0.0688
132,The Wonder Years (feat. Chance the Rapper & Nico Segal),The O'My's,10,spotify:track:5ZvDZdNRRJwSc8X6nNs5q1,0.491,70.722,0.395,0.621,247772,0.463,4.71E-06,1,0.128,-10.259,0.243
133,"Archie, Marry Me",Alvvays,10,spotify:track:1kuLb02RysdiBU9qoEJbfw,0.205,117.314,0.00956,0.27,196560,0.83,0.434,7,0.142,-4.592,0.0741
134,Everybody Talks,Neon Trees,10,spotify:track:6MdPvaZn1TGIEhpWc8EdOH,0.725,154.961,0.00301,0.471,177280,0.924,0,8,0.313,-3.906,0.0586
135,Campus,Vampire Weekend,10,spotify:track:1eNrlXlW7Cj1QB1YUcZmpb,0.645,162.983,0.22,0.639,176467,0.704,0.0872,7,0.0849,-5.818,0.0659
136,Love on the Weekend,John Mayer,10,spotify:track:0j2WBxWZnWti5TpSxjJvPb,0.406,119.941,0.547,0.729,212627,0.546,0.00287,7,0.0651,-9.305,0.0285
137,Good Morning,Ralph Castelli,10,spotify:track:1AIPJgVHukxd51UoeiuFSH,0.324,116.981,0.617,0.793,262594,0.649,0.0463,0,0.111,-10.913,0.0353
138,Come Back,Yeek,10,spotify:track:6F0XgcNmZ09RtFVYetCZ1n,0.762,74.979,0.000348,0.783,144121,0.534,0.032,0,0.0772,-4.648,0.0771
139,good 4 u,Olivia Rodrigo,10,spotify:track:6P4d1NWBCNIYZjzF9k1mVN,0.672,166.814,0.297,0.562,178147,0.643,0,9,0.0848,-5.025,0.141
140,Where Is the Line?,Billy Talent,10,spotify:track:1GZslORAYNPNBCYMFWX1OR,0.698,169.985,0.000286,0.516,229720,0.976,5.19E-06,2,0.222,-3.011,0.0765
141,Pressure To Party,Julia Jacklin,10,spotify:track:5Wyy2JHaM8cKEN6YDC6C8O,0.382,141.906,0.000124,0.483,182307,0.81,4.79E-05,4,0.118,-3.949,0.0366
142,Ophelia,The Lumineers,10,spotify:track:3qhobDAfBcVoOWZP8Ck8R2,0.566,76.023,0.613,0.664,160097,0.573,0.000363,5,0.0857,-6.519,0.0277
143,Mardy Bum,Arctic Monkeys,10,spotify:track:3geFzA6VBSNZUTmV3bCry6,0.312,112.215,0.0288,0.634,175440,0.599,0,2,0.197,-5.447,0.0365
144,Mattress on the Floor,Emma Jeanne,10,spotify:track:4Ij1DrC4E4w8yCqI2I68av,0.591,114.437,0.142,0.542,125623,0.672,3.56E-05,7,0.464,-8.501,0.0337
145,Younger,The Hails,10,spotify:track:3ksCO7ycQY9iKoYVD2tyie,0.803,170.021,0.237,0.675,226774,0.535,1.01E-06,9,0.158,-4.146,0.0315
146,Nellie,Dr. Dog,10,spotify:track:1aRvUHgMe9ichgcHAAs12f,0.591,129.641,0.334,0.506,217613,0.526,0.000539,4,0.0907,-9.936,0.0285
147,DQ,Charly Bliss,10,spotify:track:2quGnnWmQV5LzW5uojBzti,0.343,148.014,2.25E-05,0.399,199400,0.883,0.000131,9,0.34,-4.653,0.0638
148,Bloom - Bonus Track,The Paper Kites,10,spotify:track:41yIvlFgvGwxq8qTqAR7eG,0.417,96.002,0.882,0.592,210080,0.416,0.000586,1,0.112,-9.794,0.0246
149,New Song,Alice Phoebe Lou,10,spotify:track:0wXlyVJTKIzwIT72WhCU8X,0.175,178.851,0.206,0.31,255785,0.373,0.000165,4,0.153,-9.713,0.0397
150,Fynbos,Alice Phoebe Lou,10,spotify:track:2iiKesB6Vg4nbqsMqOeu4o,0.0636,65.931,0.901,0.37,211644,0.191,0,7,0.0917,-12.68,0.0465
151,Galaxies,Alice Phoebe Lou,10,spotify:track:12PcwvOuR38HV6nXw31TyO,0.0395,95.06,0.658,0.559,308588,0.42,0.0522,11,0.107,-11.542,0.0379
152,Back Pocket,Vulfpeck,10,spotify:track:1DrlLvlYd1FIjNavRm6NdX,0.89,89.821,0.478,0.839,181260,0.585,0.00281,2,0.0435,-7.738,0.153
